percorso,righe,parsing_ast,descrizione_docstring,classi_top_level,funzioni_top_level,import_top_level
TRIM/analyze_trim_sweep.py,465,ok,Analizza lo sweep del trim 2x2 e crea CSV e grafici riepilogativi.,Case,arguments; data; source_constant; load_case; moving_average; convergence_time; slope; save_history; analyse; write_summary; save_figure; format_axis; format_legend; plot_solution; plot_quality; plot_histories; run,__future__; argparse; csv; math; os; re; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; cycler; matplotlib.ticker; netCDF4
TRIM/identify_trim_jacobian.py,286,ok,Identifica il Jacobiano 2x2 del trim con perturbazioni finite centrate.,Perturbation,arguments; calibration_source; launch_case; variable; read_result; central_column; run,__future__; argparse; csv; json; math; subprocess; time; dataclasses; pathlib; numpy; netCDF4; run_trim_sweep
TRIM/run_trim_sweep.py,256,ok,Completa lo sweep MBDyn del trim accoppiato 2x2 dell'X-56.,,arguments; locate_mbdyn; velocity_grid; replace_real_constant; generated_source; completed_case; write_manifest; run,__future__; argparse; csv; math; os; re; shutil; subprocess; sys; time; pathlib
X56_AERO_POLAR/test/compare_results.py,390,ok,Compare NASTRAN and MBDyn aerodynamic results and create visualization graphs.,AerodynamicComparison,main,json; pathlib; numpy; matplotlib.pyplot; matplotlib.gridspec; matplotlib.patches
X56_AERO_POLAR/test/create_aerobody_files.py,177,ok,Create modified aerobody files that use span-wise C81 data:,,create_spanwise_aerobody_files; keep_bodies_range; create_combined_aerobody,pathlib; re
X56_AERO_POLAR/test/create_c81_file.py,74,ok,Generate C81 airfoil file from NASTRAN aerodynamic coefficient data.,,create_c81_from_nastran_data,json; pathlib; numpy
X56_AERO_POLAR/test/create_mbdyn_models.py,102,ok,Create a comprehensive MBDyn model that includes both wing and winglet aerodynamic elements,,create_comprehensive_model,pathlib
X56_AERO_POLAR/test/create_spanwise_c81_files.py,134,ok,Generate 3 C81 files with span-wise variations from NASTRAN aerodynamic data.,,create_spanwise_c81_files; create_c81_file,json; pathlib; numpy
X56_AERO_POLAR/test/extract_nastran_aero.py,220,ok,Extract aerodynamic coefficients from NASTRAN output and convert to C81 format,NastranAeroExtractor,main,re; numpy; pathlib; json
X56_AERO_POLAR/test/run_mbdyn_simulation.py,251,ok,Run MBDyn simulations and extract aerodynamic results for comparison with NASTRAN.,MBDynSimulation,main,subprocess; os; pathlib; re; numpy; json
_trim_coupled_stage/make_paraview.py,69,ok,Repair DUST raw-appended VTU XML and create the trim animation PVD.,,portable; main,__future__; base64; pathlib; re; struct
_trim_coupled_stage/run_trim.py,437,ok,"Coupled DUST/MBDyn trim of the X-56A at 55 m/s (no SAS, no BFF).",MBDynSocket,executable; binaries; render; render_mesh; prepare; validate_geometry; run_adapter; terminate; terminal_complete; coupled_run; trim; check; main,__future__; argparse; csv; hashlib; json; os; re; shutil; signal; subprocess; sys; time; pathlib; h5py; numpy
bbf_manouver/analyse_bff copy.py,893,ok,Analisi delle run X-56 BFF MBDyn con output NetCDF piatti.,Pole; Summary,constant; token; paths_for; arr; filter_first_order; smooth_burst; aerodynamic_spans; force_residuals; matrix_pencil; select_pole; harmonic; scalar_at; analyze_case; make_clean_plots; write_study; write_variable_inventory; parse_args; main,__future__; argparse; csv; math; os; re; shutil; tempfile; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; cycler; scipy.signal; scipy.spatial.transform
bbf_manouver/analyse_bff.py,868,ok,Analisi delle run X-56 BFF MBDyn con output NetCDF piatti.,Pole; Summary,constant; token; paths_for; arr; filter_first_order; smooth_burst; aerodynamic_spans; force_residuals; matrix_pencil; select_pole; harmonic; scalar_at; analyze_case; make_clean_plots; write_study; write_variable_inventory; parse_args; main,__future__; argparse; csv; math; os; re; shutil; tempfile; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal; scipy.spatial.transform
bbf_manouver/run_manouver.py,94,ok,"Esegue un caso X-56: livellato, pull-up o roll, con burst BFF opzionale.",,replace_real; parse_args; main,__future__; argparse; re; subprocess; pathlib
bbf_manouver/run_sweep.py,149,ok,Esegue uno sweep MBDyn BFF variando esclusivamente V_INF.,,constant; replace_real_constant; case_stem; render_case; decimal_sweep; clear_case; run_case; parse_args; main,__future__; argparse; math; re; subprocess; decimal; os; pathlib
bff_eigenalaisy/analyse_bff copy.py,893,ok,Analisi delle run X-56 BFF MBDyn con output NetCDF piatti.,Pole; Summary,constant; token; paths_for; arr; filter_first_order; smooth_burst; aerodynamic_spans; force_residuals; matrix_pencil; select_pole; harmonic; scalar_at; analyze_case; make_clean_plots; write_study; write_variable_inventory; parse_args; main,__future__; argparse; csv; math; os; re; shutil; tempfile; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; cycler; scipy.signal; scipy.spatial.transform
bff_eigenalaisy/analyse_bff.py,887,ok,Analisi delle run X-56 BFF MBDyn con output NetCDF piatti.,Pole; Summary,constant; expanded_input_text; token; paths_for; arr; filter_first_order; smooth_burst; aerodynamic_spans; force_residuals; matrix_pencil; select_pole; harmonic; scalar_at; analyze_case; make_clean_plots; write_study; write_variable_inventory; parse_args; main,__future__; argparse; csv; math; os; re; shutil; tempfile; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal; scipy.spatial.transform
bff_eigenalaisy/run_sweep.py,149,ok,Esegue uno sweep MBDyn BFF variando esclusivamente V_INF.,,constant; replace_real_constant; case_stem; render_case; decimal_sweep; clear_case; run_case; parse_args; main,__future__; argparse; math; re; subprocess; decimal; os; pathlib
bff_longitudinal/analyse_bff copy.py,893,ok,Analisi delle run X-56 BFF MBDyn con output NetCDF piatti.,Pole; Summary,constant; token; paths_for; arr; filter_first_order; smooth_burst; aerodynamic_spans; force_residuals; matrix_pencil; select_pole; harmonic; scalar_at; analyze_case; make_clean_plots; write_study; write_variable_inventory; parse_args; main,__future__; argparse; csv; math; os; re; shutil; tempfile; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; cycler; scipy.signal; scipy.spatial.transform
bff_longitudinal/analyse_bff.py,906,ok,Analisi delle run X-56 BFF MBDyn con output NetCDF piatti.,Pole; Summary,constant; token; paths_for; arr; filter_first_order; filter_second_order; longitudinal_bandstop; smooth_burst; aerodynamic_spans; force_residuals; matrix_pencil; select_pole; harmonic; scalar_at; analyze_case; make_clean_plots; write_study; write_variable_inventory; parse_args; main,__future__; argparse; csv; math; os; re; shutil; tempfile; dataclasses; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal; scipy.spatial.transform
bff_longitudinal/run_sweep.py,176,ok,Esegue lo sweep longitudinale MBDyn variando esclusivamente V_INF.,,constant; replace_real_constant; case_stem; render_case; decimal_sweep; clear_case; run_case; parse_args; main,__future__; argparse; math; re; subprocess; decimal; os; pathlib
